gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
WDR19,-0.104610362,0.078287613,0.053566393,-0.045851327,0.291069478,0.095515854,-0.303305392,0.012474012,-0.013746275,-0.049325131,0.132028977,0.096321014,0.047895779,0.790306778,0.78485209,0.584121198,0.024645861,0.107527568
KAT01,0,0,-0.047395892,0.123455608,0.249392314,0.081371288,-0.25027933,-0.121890339,-0.155977163,0.035823706,-0.079512206,0.044351113,0.188875174,0.068539272,0.024664621,0.695212197,0.277536453,0.463787207
SERPINB6,0.177950502,-0.157642049,0.033151837,0.13220008,0.040113454,-0.124939212,0.069417647,-0.097355946,-0.066766471,0.021353455,-0.050229289,-0.020291617,0.354545652,0.024689995,0.25065653,0.720616502,0.305364976,0.735833477
LACTB2,0.434284451,0,0,0.130020837,0.305586627,0.004444001,0.050272024,0.068723252,-0.018702279,0.009654118,0.138911214,-0.16267908,0.629866326,0.266366744,0.855116482,0.909536548,0.042550412,0.024691203
NXPE3,0.093860781,0.155337425,0.115155554,0,0,0,0.010603074,0.031566338,-0.016777049,-0.336160779,0.120744496,0.068981606,0.889637123,0.406670997,0.760762095,0.024701052,0.662635205,0.616403089
SMG6,0.055409154,0.100896219,0.03437314,0.092611072,0.127390963,0.016514844,-0.040380321,0.031044743,-0.036776268,0.009118532,-0.017841061,-0.052632503,0.301277326,0.092465068,0.13371127,0.787655953,0.532317282,0.024739232
AL645465.1,0,0.261782341,0.100018793,0.042376434,0.298628348,0.019117586,0.134078897,0.105612205,0.00382962,0.037485871,0.055852068,-0.075277033,0.276838132,0.02474821,0.957749956,0.685960773,0.339131058,0.321449343
TNRC6C,0.095326945,-0.019774462,0.093425571,0.009037119,0.178126197,-0.085236532,-0.058074645,-0.038631375,0.012026168,-0.071546175,-0.010874169,-0.065805599,0.382500315,0.40987005,0.701267493,0.1678408,0.781456779,0.024769291
AL807742.1,0,0,0,0.0962734,-0.007913776,0,-0.058319679,0.286501852,0.114451044,0.036955024,-0.153854003,0.151013829,0.799418776,0.024805389,0.56571187,0.256934533,0.071185507,0.425555177
SPATA6L,0,0.082892361,0,0.227089193,0,0,0.021794359,0.024984494,0.101166327,0.123143097,0.062597457,-0.004463871,0.872608655,0.588585926,0.317015518,0.024867672,0.781384362,0.97081534
LMAN1,0.054266274,0.092332785,0.119762733,0.099480193,0.23749407,0.118975869,0.073811105,0.017040791,0.06493092,0.041217469,-0.031356132,0.054926635,0.265331588,0.506375591,0.024914548,0.352427848,0.345127149,0.188116369
PTPN21,-0.09739245,0.050427636,0,0.129319993,0,0.224925221,-0.034699051,-0.008643706,-0.179564089,0.179679756,0.138908221,-0.017644554,0.664356176,0.825883845,0.232568501,0.024915241,0.145637683,0.766052999
RPUSD4,0,0.077305027,0.200101726,0.096707953,0.109099439,0,0.244962457,0.024902925,0.057074558,-0.014867765,-0.152427539,0.095425784,0.030384409,0.633914859,0.340213548,0.832096726,0.024933259,0.251060486
CIAO1,0,-0.145646912,0.121017441,0.098876306,0.125031745,0.140442912,0.00565795,-0.10706112,-0.036243884,-0.010067509,-0.025613092,0.008220193,0.960462762,0.024939519,0.48218922,0.8702962,0.609754508,0.871809661
CD82,0,0.041983423,0,0.243409702,0,0,0.06934572,0.019685259,0.208697945,0.09694727,0.124381624,-0.141584553,0.583895002,0.557184676,0.109296901,0.024952223,0.482198954,0.466223394
ARFIP2,0,0,0,-0.032464294,0.323351754,0.103751006,0.211325743,0.085203873,-0.070258813,-0.162390814,0.06930035,0.055546858,0.071712674,0.173590139,0.414531517,0.024969143,0.392902203,0.453071544
MAPKAPK2,0.001854812,-0.07955233,-0.121561861,0.149078575,0.210273692,0.11197266,0.02667382,-0.047413063,-0.070828718,0.070079856,-0.016627274,-0.090043393,0.715444702,0.143774834,0.252825825,0.215434958,0.651774586,0.024976068
C1GALT1,0.073937501,-0.006668623,0.108284003,0.119757356,0.054404022,0.074334505,-0.017769336,-0.066116774,0.085280817,-0.007254231,-0.123221529,-0.007775393,0.793182429,0.064377755,0.10989964,0.861473976,0.024976156,0.852210549
LETM1,0.090774978,0.021432496,-0.002482515,0.137595901,0.040917714,-0.025426447,-0.027004394,0.023868622,-0.038706369,-0.037046058,-0.120531886,-0.098441862,0.793371431,0.507379289,0.421597498,0.504212463,0.025002142,0.13612668
FAM81A,-0.10465495,-0.069955878,0.094120516,0.117799644,0,0,-0.139027081,-0.018859787,0.03934855,0.031010061,0.338915614,-0.006347889,0.14778899,0.719504922,0.52639873,0.514780066,0.025021087,0.943293439
